arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0.227688,0.334654,0.306296,0.278195,0.15346,0.415934
0.229103,0.328349,0.302173,0.27612,0.154423,0.403278
0.230517,0.322045,0.29805,0.274045,0.155386,0.390621
0.231931,0.31574,0.293927,0.27197,0.156349,0.377965
0.233345,0.309435,0.289803,0.269894,0.157312,0.365308
0.234759,0.303131,0.28568,0.267819,0.158274,0.352652
0.236174,0.296826,0.281557,0.265744,0.159237,0.339995
0.237588,0.290521,0.277433,0.263669,0.1602,0.327338
0.239002,0.284216,0.27331,0.261593,0.161163,0.314682
0.240416,0.277912,0.269187,0.259518,0.162126,0.302025
0.241831,0.271607,0.265064,0.257443,0.163089,0.289369
0.243245,0.265302,0.26094,0.255367,0.164052,0.276712
0.244659,0.258998,0.256817,0.253292,0.165015,0.264056
0.246073,0.252693,0.252694,0.251217,0.165977,0.251399
0.247487,0.246388,0.248571,0.249142,0.16694,0.238743
0.248902,0.240084,0.244447,0.247066,0.167903,0.226086
0.250316,0.233779,0.240324,0.244991,0.168866,0.213429
0.25173,0.227474,0.236201,0.242916,0.169829,0.200773
0.253144,0.22117,0.232077,0.240841,0.170792,0.188116
0.254558,0.214865,0.227954,0.238765,0.171755,0.17546
0.255973,0.20856,0.223831,0.23669,0.172717,0.162803
0.257387,0.202256,0.219708,0.234615,0.17368,0.150147
0.258801,0.195951,0.215584,0.23254,0.174643,0.13749
0.260215,0.189646,0.211461,0.230464,0.175606,0.124833
0.26163,0.183342,0.207338,0.228389,0.176569,0.112177
0.263044,0.177037,0.203214,0.226314,0.177532,0.0995202
0.264458,0.170732,0.199091,0.224238,0.178495,0.0868636
0.265872,0.164428,0.194968,0.222163,0.179457,0.0742072
0.267286,0.158123,0.190845,0.220088,0.18042,0.0615506
0.268701,0.151818,0.186721,0.218013,0.181383,0.0488941
0.270115,0.145514,0.182598,0.215937,0.182346,0.0362375
0.271529,0.139209,0.178475,0.213862,0.183309,0.0235809
0.272943,0.132904,0.174351,0.211787,0.184272,0.0109243
