"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.057514,1,0.35638,0.252,0.252,0
0.053905,1,0.3578,0.253,0.253,0
0.050296,1,0.35921,0.254,0.254,0
0.046687,1,0.36062,0.255,0.255,0
0.043078,1,0.36204,0.256,0.256,0
0.039469,1,0.36345,0.257,0.257,0
0.03586,1,0.36487,0.258,0.258,0
0.032251,1,0.36628,0.259,0.259,0
0.028643,1,0.3677,0.26,0.26,0
0.033233,1,0.36911,0.261,0.261,0
0.037824,1,0.37052,0.262,0.262,0
0.042414,1,0.37194,0.263,0.263,0
0.047005,1,0.37335,0.264,0.264,0
0.051596,1,0.37477,0.265,0.265,0
0.056186,1,0.37618,0.266,0.266,0
0.060777,1,0.3776,0.267,0.267,0
0.065368,1,0.37901,0.268,0.268,0
0.069958,1,0.38042,0.269,0.269,0
0.074549,1,0.38184,0.27,0.27,0
0.073653,1,0.38325,0.271,0.271,0
0.072757,1,0.38467,0.272,0.272,0
0.071862,1,0.38608,0.273,0.273,0
0.070966,1,0.38749,0.274,0.274,0
0.07007,1,0.38891,0.275,0.275,0
0.069174,1,0.39032,0.276,0.276,0
0.068278,1,0.39174,0.277,0.277,0
0.067382,1,0.39315,0.278,0.278,0
0.066487,1,0.39457,0.279,0.279,0
0.065591,1,0.39598,0.28,0.28,0
0.076249,1,0.39739,0.281,0.281,0
0.086908,1,0.39881,0.282,0.282,0
0.097567,1,0.40022,0.283,0.283,0
0.10823,1,0.40164,0.284,0.284,0
0.11888,1,0.40305,0.285,0.285,0
0.12954,1,0.40447,0.286,0.286,0
0.1402,1,0.40588,0.287,0.287,0
0.15086,1,0.40729,0.288,0.288,0
0.16152,1,0.40871,0.289,0.289,0
0.17218,1,0.41012,0.29,0.29,0
0.16406,1,0.41154,0.291,0.291,0
0.15594,1,0.41295,0.292,0.292,0
0.14781,1,0.41436,0.293,0.293,0
0.13969,1,0.41578,0.294,0.294,0
0.13157,1,0.41719,0.295,0.295,0
0.12345,1,0.41861,0.296,0.296,0
0.11533,1,0.42002,0.297,0.297,0
0.10721,1,0.42144,0.298,0.298,0
0.099089,1,0.42285,0.299,0.299,0
0.090968,1,0.42426,0.3,0.3,0
0.095533,1,0.42568,0.301,0.301,0
0.1001,1,0.42709,0.302,0.302,0
0.10466,1,0.42851,0.303,0.303,0
0.10923,1,0.42992,0.304,0.304,0
0.11379,1,0.43134,0.305,0.305,0
0.11836,1,0.43275,0.306,0.306,0
0.12292,1,0.43416,0.307,0.307,0
0.12749,1,0.43558,0.308,0.308,0
0.13206,1,0.43699,0.309,0.309,0
0.13662,1,0.43841,0.31,0.31,0
0.1563,1,0.43982,0.311,0.311,0
0.17597,1,0.44123,0.312,0.312,0
0.19565,1,0.44265,0.313,0.313,0
0.21532,1,0.44406,0.314,0.314,0
0.235,1,0.44548,0.315,0.315,0
0.25467,1,0.44689,0.316,0.316,0
0.27435,1,0.44831,0.317,0.317,0
0.29402,1,0.44972,0.318,0.318,0
0.3137,1,0.45113,0.319,0.319,0
0.33337,1,0.45255,0.32,0.32,0
0.31269,1,0.45396,0.321,0.321,0
0.292,1,0.45538,0.322,0.322,0
0.27132,1,0.45679,0.323,0.323,0
0.25063,1,0.45821,0.324,0.324,0
0.22995,1,0.45962,0.325,0.325,0
0.20926,1,0.46103,0.326,0.326,0
0.18858,1,0.46245,0.327,0.327,0
0.16789,1,0.46386,0.328,0.328,0
0.14721,1,0.46528,0.329,0.329,0
0.12653,1,0.46669,0.33,0.33,0
0.12604,1,0.4681,0.331,0.331,0
0.12555,1,0.46952,0.332,0.332,0
0.12506,1,0.47093,0.333,0.333,0
0.12457,1,0.47235,0.334,0.334,0
0.12408,1,0.47376,0.335,0.335,0
0.12359,1,0.47518,0.336,0.336,0
0.12311,1,0.47659,0.337,0.337,0
0.12262,1,0.478,0.338,0.338,0
0.12213,1,0.47942,0.339,0.339,0
0.12164,1,0.48083,0.34,0.34,0
0.11912,1,0.48225,0.341,0.341,0
0.1166,1,0.48366,0.342,0.342,0
0.11408,1,0.48508,0.343,0.343,0
0.11157,1,0.48649,0.344,0.344,0
0.10905,1,0.4879,0.345,0.345,0
0.10653,1,0.48932,0.346,0.346,0
0.10401,1,0.49073,0.347,0.347,0
0.10149,1,0.49215,0.348,0.348,0
0.098975,1,0.49356,0.349,0.349,0
0.096456,1,0.49497,0.35,0.35,0
0.094668,1,0.49639,0.351,0.351,0
0.09288,1,0.4978,0.352,0.352,0
0.091092,1,0.49922,0.353,0.353,0
0.089304,1,0.50063,0.354,0.354,0
0.087516,1,0.50205,0.355,0.355,0
0.085728,1,0.50346,0.356,0.356,0
0.08394,1,0.50487,0.357,0.357,0
0.082152,1,0.50629,0.358,0.358,0
0.080364,1,0.5077,0.359,0.359,0
0.078576,1,0.50912,0.36,0.36,0
0.074228,1,0.51053,0.361,0.361,0
0.069879,1,0.51195,0.362,0.362,0
0.065531,1,0.51336,0.363,0.363,0
0.061183,1,0.51477,0.364,0.364,0
0.056834,1,0.51619,0.365,0.365,0
0.052486,1,0.5176,0.366,0.366,0
0.048138,1,0.51902,0.367,0.367,0
0.04379,1,0.52043,0.368,0.368,0
0.039441,1,0.52184,0.369,0.369,0
0.035093,1,0.52326,0.37,0.37,0
0.034088,1,0.52467,0.371,0.371,0
0.033083,1,0.52609,0.372,0.372,0
0.032078,1,0.5275,0.373,0.373,0
0.031073,1,0.52892,0.374,0.374,0
0.030068,1,0.53033,0.375,0.375,0
0.029062,1,0.53174,0.376,0.376,0
0.028057,1,0.53316,0.377,0.377,0
0.027052,1,0.53457,0.378,0.378,0
0.026047,1,0.53599,0.379,0.379,0
0.025042,1,0.5374,0.38,0.38,0
0.027547,1,0.53882,0.381,0.381,0
0.030051,1,0.54023,0.382,0.382,0
0.032555,1,0.54164,0.383,0.383,0
0.03506,1,0.54306,0.384,0.384,0
0.037564,1,0.54447,0.385,0.385,0
0.040069,1,0.54589,0.386,0.386,0
0.042573,1,0.5473,0.387,0.387,0
0.045078,1,0.54871,0.388,0.388,0
0.047582,1,0.55013,0.389,0.389,0
0.050086,1,0.55154,0.39,0.39,0
0.049862,1,0.55296,0.391,0.391,0
0.049637,1,0.55437,0.392,0.392,0
0.049413,1,0.55579,0.393,0.393,0
0.049188,1,0.5572,0.394,0.394,0
0.048964,1,0.55861,0.395,0.395,0
0.048739,1,0.56003,0.396,0.396,0
0.048515,1,0.56144,0.397,0.397,0
0.04829,1,0.56286,0.398,0.398,0
