"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.149907,0.0974102,0.0974719,0.0974925,0.0974957,0.0987574,0.0975027
0.151321,0.0985789,0.0986489,0.0986713,0.0986753,0.0997127,0.0986858
0.152735,0.0997476,0.0998259,0.09985,0.0998549,0.100668,0.099869
0.154149,0.100916,0.101003,0.101029,0.101034,0.101623,0.101052
0.155563,0.102085,0.10218,0.102208,0.102214,0.102578,0.102235
0.156978,0.103254,0.103357,0.103386,0.103394,0.103534,0.103418
0.158392,0.104422,0.104534,0.104565,0.104573,0.104489,0.104602
0.159806,0.105591,0.105711,0.105744,0.105753,0.105444,0.105785
0.16122,0.10676,0.106888,0.106923,0.106932,0.106399,0.106968
0.162635,0.107928,0.108065,0.108101,0.108112,0.107354,0.108151
0.164049,0.109097,0.109242,0.10928,0.109292,0.10831,0.109334
0.165463,0.110266,0.110419,0.110459,0.110471,0.109265,0.110517
0.166877,0.111434,0.111596,0.111638,0.111651,0.11022,0.111701
0.168291,0.112603,0.112773,0.112816,0.11283,0.111175,0.112884
0.169706,0.113772,0.11395,0.113995,0.11401,0.112131,0.114067
0.17112,0.11494,0.115127,0.115174,0.11519,0.113086,0.11525
0.172534,0.116109,0.116304,0.116353,0.116369,0.114041,0.116433
0.173948,0.117278,0.117481,0.117532,0.117549,0.114996,0.117616
0.175362,0.118446,0.118658,0.11871,0.118728,0.115951,0.1188
0.176777,0.119615,0.119835,0.119889,0.119908,0.116907,0.119983
0.178191,0.120322,0.120532,0.120583,0.120601,0.117867,0.120671
0.179605,0.12103,0.121228,0.121277,0.121294,0.118827,0.121359
0.181019,0.121737,0.121925,0.121971,0.121987,0.119787,0.122047
0.182434,0.122444,0.122621,0.122664,0.122679,0.120747,0.122736
0.183848,0.123152,0.123318,0.123358,0.123372,0.121707,0.123424
0.185262,0.123859,0.124014,0.124052,0.124065,0.122667,0.124112
0.186676,0.124566,0.124711,0.124746,0.124758,0.123627,0.1248
0.18809,0.125274,0.125407,0.12544,0.125451,0.124587,0.125488
0.189505,0.125981,0.126103,0.126134,0.126143,0.125547,0.126177
0.190919,0.126688,0.1268,0.126827,0.126836,0.126507,0.126865
0.192333,0.127396,0.127496,0.127521,0.127529,0.127467,0.127553
0.193747,0.128103,0.128193,0.128215,0.128222,0.128427,0.128241
0.195161,0.12881,0.128889,0.128909,0.128915,0.129387,0.128929
0.196576,0.129518,0.129586,0.129603,0.129608,0.130347,0.129618
0.19799,0.130225,0.130282,0.130297,0.1303,0.131307,0.130306
0.199404,0.130932,0.130978,0.13099,0.130993,0.132267,0.130994
0.200818,0.13164,0.131675,0.131684,0.131686,0.133227,0.131682
0.202233,0.132347,0.132371,0.132378,0.132379,0.134187,0.13237
0.203647,0.133054,0.133068,0.133072,0.133072,0.135147,0.133059
0.205061,0.133762,0.133764,0.133766,0.133765,0.136107,0.133747
0.206475,0.134469,0.134461,0.134459,0.134457,0.137067,0.134435
0.207889,0.135176,0.135157,0.135153,0.13515,0.138028,0.135123
0.209304,0.135884,0.135853,0.135847,0.135843,0.138988,0.135811
0.210718,0.136591,0.13655,0.136541,0.136536,0.139948,0.1365
0.212132,0.137298,0.137246,0.137235,0.137229,0.140908,0.137188
0.213546,0.138577,0.138538,0.138528,0.138523,0.141871,0.138488
0.21496,0.139856,0.13983,0.139821,0.139817,0.142835,0.139789
0.216375,0.141135,0.141121,0.141114,0.141111,0.143799,0.141089
0.217789,0.142414,0.142413,0.142408,0.142405,0.144762,0.14239
0.219203,0.143693,0.143705,0.143701,0.143699,0.145726,0.14369
0.220617,0.144972,0.144996,0.144994,0.144993,0.146689,0.144991
0.222032,0.146251,0.146288,0.146287,0.146288,0.147653,0.146291
0.223446,0.14753,0.147579,0.14758,0.147582,0.148617,0.147592
0.22486,0.148809,0.148871,0.148873,0.148876,0.14958,0.148892
