"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0.0523259,0.032207,0.0322133,0.0322146,0.0322149,0.032252,0.0322153
0.0537401,0.0331408,0.0331471,0.0331482,0.0331486,0.0331851,0.033149
0.0551543,0.0340746,0.0340808,0.0340819,0.0340823,0.0341182,0.0340826
0.0565685,0.0350085,0.0350145,0.0350156,0.0350159,0.0350512,0.0350163
0.0579828,0.0359463,0.0359523,0.0359533,0.0359536,0.0359885,0.035954
0.059397,0.0368842,0.03689,0.036891,0.0368914,0.0369257,0.0368917
0.0608112,0.037822,0.0378278,0.0378288,0.0378291,0.0378629,0.0378294
0.0622254,0.0387599,0.0387655,0.0387665,0.0387668,0.0388002,0.0387671
0.0636396,0.0396977,0.0397033,0.0397042,0.0397045,0.0397374,0.0397048
0.0650538,0.0406389,0.0406444,0.0406453,0.0406456,0.0406781,0.0406459
0.066468,0.0415801,0.0415855,0.0415864,0.0415867,0.0416188,0.0415869
0.0678823,0.0425213,0.0425267,0.0425275,0.0425278,0.0425595,0.042528
0.0692965,0.0434625,0.0434678,0.0434686,0.0434688,0.0435002,0.0434691
0.0707107,0.0444037,0.0444089,0.0444097,0.0444099,0.0444409,0.0444102
0.0721249,0.0453477,0.0453529,0.0453536,0.0453539,0.0453845,0.0453541
0.0735391,0.0462918,0.0462968,0.0462976,0.0462978,0.0463281,0.046298
0.0749533,0.0472358,0.0472408,0.0472415,0.0472418,0.0472717,0.047242
0.0763675,0.0481798,0.0481848,0.0481855,0.0481857,0.0482153,0.0481859
0.0777817,0.0491239,0.0491287,0.0491294,0.0491297,0.0491589,0.0491299
0.079196,0.0500704,0.0500752,0.0500759,0.0500761,0.0501051,0.0500763
0.0806102,0.0510169,0.0510216,0.0510223,0.0510225,0.0510512,0.0510227
0.0820244,0.0519634,0.051968,0.0519687,0.0519689,0.0519973,0.0519691
0.0834386,0.0529099,0.0529145,0.0529151,0.0529153,0.0529435,0.0529155
0.0848528,0.0538564,0.0538609,0.0538616,0.0538617,0.0538896,0.0538619
0.086267,0.054805,0.0548095,0.0548101,0.0548103,0.0548379,0.0548105
0.0876812,0.0557536,0.0557581,0.0557587,0.0557589,0.0557862,0.055759
0.0890955,0.0567023,0.0567067,0.0567073,0.0567075,0.0567346,0.0567076
0.0905097,0.0576509,0.0576553,0.0576559,0.057656,0.0576829,0.0576562
0.0919239,0.0585996,0.0586038,0.0586044,0.0586046,0.0586312,0.0586047
0.0933381,0.0595501,0.0595543,0.0595549,0.0595551,0.0595815,0.0595552
0.0947523,0.0605006,0.0605048,0.0605054,0.0605055,0.0605317,0.0605057
0.0961665,0.0614512,0.0614553,0.0614559,0.061456,0.061482,0.0614562
0.0975807,0.0624017,0.0624058,0.0624063,0.0624065,0.0624322,0.0624066
0.0989949,0.0633522,0.0633563,0.0633568,0.063357,0.0633825,0.0633571
0.100409,0.0643045,0.0643085,0.064309,0.0643091,0.0643345,0.0643093
0.101823,0.0652567,0.0652606,0.0652612,0.0652613,0.0652865,0.0652614
0.103238,0.0662089,0.0662128,0.0662133,0.0662135,0.0662384,0.0662136
0.104652,0.0671611,0.067165,0.0671655,0.0671656,0.0671904,0.0671658
0.106066,0.0681134,0.0681172,0.0681177,0.0681178,0.0681424,0.0681179
0.10748,0.0690671,0.0690709,0.0690714,0.0690715,0.0690959,0.0690716
0.108894,0.0700208,0.0700246,0.0700251,0.0700252,0.0700494,0.0700253
0.110309,0.0709746,0.0709783,0.0709788,0.0709789,0.0710029,0.070979
0.111723,0.0719283,0.071932,0.0719325,0.0719326,0.0719565,0.0719327
0.113137,0.072882,0.0728857,0.0728861,0.0728863,0.07291,0.0728864
0.114551,0.0738371,0.0738408,0.0738412,0.0738413,0.0738649,0.0738414
0.115966,0.0747923,0.0747958,0.0747963,0.0747964,0.0748198,0.0747965
0.11738,0.0757474,0.0757509,0.0757513,0.0757515,0.0757747,0.0757515
0.118794,0.0767025,0.076706,0.0767064,0.0767065,0.0767296,0.0767066
0.120208,0.0776576,0.0776611,0.0776615,0.0776616,0.0776845,0.0776617
0.121622,0.0786139,0.0786174,0.0786178,0.0786179,0.0786407,0.078618
0.123037,0.0795703,0.0795737,0.0795741,0.0795742,0.0795969,0.0795743
0.124451,0.0805266,0.08053,0.0805304,0.0805305,0.080553,0.0805306
0.125865,0.081483,0.0814864,0.0814868,0.0814869,0.0815092,0.0814869
0.127279,0.0824394,0.0824427,0.0824431,0.0824432,0.0824654,0.0824432
0.128693,0.0833968,0.0834001,0.0834005,0.0834006,0.0834227,0.0834007
0.130108,0.0843543,0.0843576,0.084358,0.0843581,0.0843801,0.0843582
0.131522,0.0853118,0.0853151,0.0853155,0.0853156,0.0853374,0.0853156
0.132936,0.0862693,0.0862725,0.0862729,0.086273,0.0862947,0.0862731
0.13435,0.0872268,0.08723,0.0872304,0.0872305,0.087252,0.0872305
0.135765,0.0881854,0.0881885,0.0881889,0.088189,0.0882104,0.088189
0.137179,0.0891439,0.089147,0.0891474,0.0891475,0.0891688,0.0891475
0.138593,0.0901024,0.0901055,0.0901059,0.090106,0.0901272,0.090106
0.140007,0.091061,0.0910641,0.0910644,0.0910645,0.0910856,0.0910645
0.141421,0.0920195,0.0920226,0.0920229,0.092023,0.092044,0.0920231
