"arc_length","N=0","N=1","N=2","N=3","Exact","No Filter"
0.192333,0.299498,0.294964,0.294903,0.295865,0.129449,0.386225
0.193747,0.306962,0.302001,0.301857,0.302846,0.130408,0.398291
0.195161,0.314427,0.309038,0.30881,0.309827,0.131366,0.410358
0.196576,0.321892,0.316075,0.315764,0.316808,0.132325,0.422424
0.19799,0.329357,0.323111,0.322717,0.323789,0.133283,0.434491
0.199404,0.336822,0.330148,0.329671,0.33077,0.134242,0.446557
0.200818,0.344287,0.337185,0.336624,0.337751,0.1352,0.458624
0.202233,0.351751,0.344222,0.343578,0.344732,0.136159,0.470691
0.203647,0.359216,0.351258,0.350531,0.351713,0.137117,0.482757
0.205061,0.366681,0.358295,0.357484,0.358693,0.138076,0.494824
0.206475,0.374146,0.365332,0.364438,0.365674,0.139034,0.50689
0.207889,0.381611,0.372369,0.371391,0.372655,0.139993,0.518957
0.209304,0.389076,0.379406,0.378345,0.379636,0.140952,0.531023
0.210718,0.396541,0.386443,0.385298,0.386617,0.14191,0.54309
0.212132,0.404005,0.393479,0.392252,0.393598,0.142869,0.555157
0.213546,0.397701,0.387618,0.386403,0.387667,0.143831,0.5425
0.21496,0.391396,0.381756,0.380554,0.381735,0.144794,0.529844
0.216375,0.385091,0.375895,0.374705,0.375804,0.145757,0.517187
0.217789,0.378787,0.370033,0.368856,0.369873,0.14672,0.50453
0.219203,0.372482,0.364171,0.363007,0.363941,0.147683,0.491874
0.220617,0.366177,0.35831,0.357158,0.35801,0.148646,0.479217
0.222032,0.359873,0.352448,0.351309,0.352079,0.149609,0.466561
0.223446,0.353568,0.346587,0.34546,0.346147,0.150572,0.453904
0.22486,0.347263,0.340725,0.339611,0.340216,0.151534,0.441248
0.226274,0.340959,0.334864,0.333762,0.334285,0.152497,0.428591
0.227688,0.334654,0.329002,0.327913,0.328353,0.15346,0.415934
0.229103,0.328349,0.32314,0.322065,0.322422,0.154423,0.403278
0.230517,0.322045,0.317279,0.316216,0.316491,0.155386,0.390621
0.231931,0.31574,0.311417,0.310367,0.310559,0.156349,0.377965
0.233345,0.309435,0.305556,0.304518,0.304628,0.157312,0.365308
0.234759,0.303131,0.299694,0.298669,0.298697,0.158274,0.352652
0.236174,0.296826,0.293833,0.29282,0.292765,0.159237,0.339995
0.237588,0.290521,0.287971,0.286971,0.286834,0.1602,0.327338
0.239002,0.284216,0.282109,0.281122,0.280903,0.161163,0.314682
0.240416,0.277912,0.276248,0.275273,0.274971,0.162126,0.302025
0.241831,0.271607,0.270386,0.269424,0.26904,0.163089,0.289369
0.243245,0.265302,0.264525,0.263575,0.263109,0.164052,0.276712
0.244659,0.258998,0.258663,0.257726,0.257177,0.165015,0.264056
0.246073,0.252693,0.252801,0.251877,0.251246,0.165977,0.251399
0.247487,0.246388,0.24694,0.246028,0.245315,0.16694,0.238743
0.248902,0.240084,0.241078,0.240179,0.239383,0.167903,0.226086
0.250316,0.233779,0.235217,0.23433,0.233452,0.168866,0.213429
0.25173,0.227474,0.229355,0.228481,0.227521,0.169829,0.200773
0.253144,0.22117,0.223494,0.222632,0.221589,0.170792,0.188116
0.254558,0.214865,0.217632,0.216784,0.215658,0.171755,0.17546
0.255973,0.20856,0.21177,0.210935,0.209727,0.172717,0.162803
0.257387,0.202256,0.205909,0.205086,0.203795,0.17368,0.150147
0.258801,0.195951,0.200047,0.199237,0.197864,0.174643,0.13749
0.260215,0.189646,0.194186,0.193388,0.191933,0.175606,0.124833
0.26163,0.183342,0.188324,0.187539,0.186001,0.176569,0.112177
0.263044,0.177037,0.182462,0.18169,0.18007,0.177532,0.0995202
0.264458,0.170732,0.176601,0.175841,0.174139,0.178495,0.0868636
0.265872,0.164428,0.170739,0.169992,0.168208,0.179457,0.0742072
0.267286,0.158123,0.164878,0.164143,0.162276,0.18042,0.0615506
0.268701,0.151818,0.159016,0.158294,0.156345,0.181383,0.0488941
0.270115,0.145514,0.153155,0.152445,0.150413,0.182346,0.0362375
0.271529,0.139209,0.147293,0.146596,0.144482,0.183309,0.0235809
0.272943,0.132904,0.141431,0.140747,0.138551,0.184272,0.0109243
0.274357,0.1266,0.13557,0.134898,0.132619,0.185235,-0.00173231
0.275772,0.120295,0.129708,0.129049,0.126688,0.186198,-0.0143887
0.277186,0.11399,0.123847,0.1232,0.120757,0.18716,-0.0270453
0.2786,0.107686,0.117985,0.117352,0.114826,0.188123,-0.0397019
0.280014,0.101381,0.112124,0.111503,0.108894,0.189086,-0.0523585
0.281428,0.0950762,0.106262,0.105654,0.102963,0.190049,-0.0650151
0.282843,0.0887716,0.1004,0.0998047,0.0970316,0.191012,-0.0776716
0.284257,0.0976485,0.10879,0.108218,0.105554,0.191978,-0.0610188
0.285671,0.106525,0.117181,0.116631,0.114077,0.192944,-0.0443661
0.287085,0.115402,0.12557,0.125045,0.1226,0.193911,-0.0277136
0.2885,0.124279,0.133961,0.133458,0.131122,0.194877,-0.0110608
0.289914,0.133156,0.142351,0.141872,0.139645,0.195843,0.00559193
0.291328,0.142033,0.150741,0.150285,0.148168,0.196809,0.0222447
0.292742,0.15091,0.159131,0.158698,0.156691,0.197776,0.0388974
0.294156,0.159787,0.167521,0.167112,0.165213,0.198742,0.0555502
0.295571,0.168664,0.175911,0.175525,0.173736,0.199708,0.0722029
0.296985,0.17754,0.184301,0.183938,0.182259,0.200674,0.0888554
0.298399,0.186417,0.192691,0.192352,0.190782,0.201641,0.105508
0.299813,0.195294,0.201081,0.200765,0.199304,0.202607,0.122161
0.301227,0.204171,0.209471,0.209179,0.207827,0.203573,0.138814
0.302642,0.213048,0.217861,0.217592,0.21635,0.204539,0.155466
0.304056,0.221925,0.226251,0.226005,0.224872,0.205506,0.172119
0.30547,0.230802,0.234641,0.234419,0.233395,0.206472,0.188772
0.306884,0.239679,0.243031,0.242832,0.241918,0.207438,0.205424
0.308299,0.248555,0.251421,0.251245,0.250441,0.208404,0.222077
0.309713,0.257432,0.259812,0.259659,0.258963,0.209371,0.23873
0.311127,0.266309,0.268202,0.268072,0.267486,0.210337,0.255383
0.312541,0.275186,0.276592,0.276485,0.276009,0.211303,0.272035
0.313955,0.284063,0.284982,0.284899,0.284532,0.212269,0.288688
0.31537,0.29294,0.293372,0.293312,0.293054,0.213236,0.305341
0.316784,0.301817,0.301762,0.301726,0.301577,0.214202,0.321994
0.318198,0.310694,0.310152,0.310139,0.3101,0.215168,0.338646
0.319612,0.319571,0.318542,0.318552,0.318622,0.216134,0.355299
0.321026,0.328447,0.326932,0.326966,0.327145,0.2171,0.371952
0.322441,0.337324,0.335322,0.335379,0.335668,0.218067,0.388604
0.323855,0.346201,0.343712,0.343792,0.344191,0.219033,0.405257
0.325269,0.355078,0.352102,0.352206,0.352713,0.219999,0.42191
0.326683,0.363955,0.360492,0.360619,0.361236,0.220965,0.438563
0.328098,0.372832,0.368882,0.369033,0.369759,0.221932,0.455215
0.329512,0.381709,0.377272,0.377446,0.378281,0.222898,0.471868
0.330926,0.390586,0.385662,0.385859,0.386804,0.223864,0.488521
0.33234,0.399463,0.394053,0.394273,0.395327,0.22483,0.505173
0.333754,0.408339,0.402443,0.402686,0.40385,0.225797,0.521826
0.335169,0.417216,0.410833,0.411099,0.412372,0.226763,0.538479
0.336583,0.426093,0.419223,0.419513,0.420895,0.227729,0.555132
0.337997,0.43497,0.427613,0.427926,0.429418,0.228695,0.571784
0.339411,0.443847,0.436003,0.436339,0.437941,0.229662,0.588437
0.340825,0.452724,0.444393,0.444753,0.446463,0.230628,0.60509
0.34224,0.461601,0.452783,0.453166,0.454986,0.231594,0.621742
0.343654,0.470478,0.461173,0.46158,0.463509,0.23256,0.638395
0.345068,0.479355,0.469563,0.469993,0.472032,0.233527,0.655048
0.346482,0.488231,0.477953,0.478406,0.480554,0.234493,0.671701
0.347897,0.497108,0.486343,0.48682,0.489077,0.235459,0.688353
0.349311,0.505985,0.494733,0.495233,0.4976,0.236425,0.705006
0.350725,0.514862,0.503123,0.503646,0.506122,0.237392,0.721659
0.352139,0.523739,0.511513,0.51206,0.514645,0.238358,0.738311
0.353553,0.532616,0.519903,0.520473,0.523168,0.239324,0.754964
0.354968,0.525136,0.512922,0.513467,0.516051,0.240293,0.737928
0.356382,0.517656,0.50594,0.506461,0.508933,0.241262,0.720891
0.357796,0.510177,0.498958,0.499454,0.501816,0.242231,0.703854
0.35921,0.502697,0.491976,0.492448,0.494699,0.2432,0.686817
0.360624,0.495217,0.484994,0.485442,0.487582,0.244169,0.669781
0.362039,0.487737,0.478012,0.478435,0.480465,0.245138,0.652744
0.363453,0.480258,0.47103,0.471429,0.473347,0.246106,0.635707
0.364867,0.472778,0.464048,0.464423,0.46623,0.247075,0.618671
0.366281,0.465298,0.457066,0.457416,0.459113,0.248044,0.601634
0.367696,0.457819,0.450084,0.45041,0.451996,0.249013,0.584597
0.36911,0.450339,0.443102,0.443404,0.444879,0.249982,0.56756
0.370524,0.442859,0.43612,0.436397,0.437761,0.250951,0.550523
0.371938,0.435379,0.429138,0.429391,0.430644,0.25192,0.533486
0.373352,0.4279,0.422156,0.422385,0.423527,0.252889,0.51645
0.374767,0.42042,0.415174,0.415378,0.41641,0.253858,0.499413
0.376181,0.41294,0.408192,0.408372,0.409293,0.254826,0.482376
0.377595,0.40546,0.40121,0.401366,0.402175,0.255795,0.46534
0.379009,0.397981,0.394228,0.394359,0.395058,0.256764,0.448303
0.380423,0.390501,0.387246,0.387353,0.387941,0.257733,0.431266
0.381838,0.383021,0.380264,0.380346,0.380824,0.258702,0.414229
0.383252,0.375542,0.373283,0.37334,0.373707,0.259671,0.397193
0.384666,0.368062,0.366301,0.366334,0.366589,0.26064,0.380156
0.38608,0.360582,0.359319,0.359327,0.359472,0.261609,0.363119
0.387495,0.353102,0.352337,0.352321,0.352355,0.262578,0.346083
0.388909,0.345623,0.345355,0.345315,0.345238,0.263547,0.329046
0.390323,0.338143,0.338373,0.338309,0.338121,0.264515,0.312009
0.391737,0.330663,0.331391,0.331302,0.331003,0.265484,0.294972
0.393151,0.323183,0.324409,0.324296,0.323886,0.266453,0.277936
0.394566,0.315704,0.317427,0.317289,0.316769,0.267422,0.260899
0.39598,0.308224,0.310445,0.310283,0.309652,0.268391,0.243862
0.397394,0.300744,0.303463,0.303277,0.302535,0.26936,0.226826
0.398808,0.293264,0.296481,0.29627,0.295417,0.270329,0.209789
0.400222,0.285785,0.289499,0.289264,0.2883,0.271298,0.192752
0.401637,0.278305,0.282517,0.282258,0.281183,0.272267,0.175715
0.403051,0.270825,0.275535,0.275251,0.274066,0.273235,0.158679
0.404465,0.263345,0.268553,0.268245,0.266948,0.274204,0.141642
0.405879,0.255866,0.261571,0.261239,0.259831,0.275173,0.124605
0.407293,0.248386,0.25459,0.254233,0.252714,0.276142,0.107569
0.408708,0.240906,0.247607,0.247226,0.245597,0.277111,0.0905316
0.410122,0.233427,0.240626,0.24022,0.23848,0.27808,0.0734951
0.411536,0.225947,0.233644,0.233213,0.231362,0.279049,0.0564581
0.41295,0.218467,0.226662,0.226207,0.224245,0.280018,0.0394216
0.414365,0.210987,0.21968,0.219201,0.217128,0.280987,0.0223845
0.415779,0.203508,0.212698,0.212194,0.210011,0.281956,0.00534803
0.417193,0.196028,0.205716,0.205188,0.202894,0.282924,-0.0116885
0.418607,0.188548,0.198734,0.198182,0.195776,0.283893,-0.0287255
0.420021,0.181069,0.191752,0.191175,0.188659,0.284862,-0.045762
0.421436,0.173589,0.18477,0.184169,0.181542,0.285831,-0.062799
0.42285,0.166109,0.177788,0.177163,0.174425,0.2868,-0.0798355
0.424264,0.158629,0.170806,0.170157,0.167308,0.287769,-0.0968721
0.425678,0.168526,0.18022,0.179594,0.176863,0.28874,-0.0759187
0.427092,0.178423,0.189634,0.189031,0.186419,0.289711,-0.0549653
0.428507,0.18832,0.199047,0.198468,0.195975,0.290682,-0.0340113
0.429921,0.198216,0.208461,0.207905,0.20553,0.291653,-0.0130579
0.431335,0.208113,0.217875,0.217342,0.215086,0.292624,0.0078961
0.432749,0.21801,0.227289,0.226779,0.224641,0.293595,0.0288495
0.434164,0.227907,0.236703,0.236217,0.234197,0.294566,0.0498035
0.435578,0.237803,0.246116,0.245654,0.243753,0.295537,0.0707569
0.436992,0.2477,0.25553,0.255091,0.253308,0.296508,0.0917103
0.438406,0.257597,0.264944,0.264528,0.262864,0.297479,0.112664
0.43982,0.267493,0.274358,0.273965,0.272419,0.29845,0.133618
0.441235,0.27739,0.283772,0.283402,0.281975,0.299421,0.154572
0.442649,0.287287,0.293185,0.292839,0.291531,0.300392,0.175525
0.444063,0.297184,0.302599,0.302277,0.301086,0.301363,0.196479
0.445477,0.307081,0.312013,0.311714,0.310642,0.302333,0.217433
0.446892,0.316977,0.321427,0.321151,0.320198,0.303304,0.238387
0.448306,0.326874,0.33084,0.330588,0.329753,0.304275,0.25934
0.44972,0.336771,0.340254,0.340025,0.339309,0.305246,0.280293
0.451134,0.346668,0.349668,0.349462,0.348864,0.306217,0.301247
0.452548,0.356564,0.359082,0.3589,0.35842,0.307188,0.322201
